wl,Ag_k,PDMS_k
5.01,35.380000,0.00025650
5.02,35.470000,0.00025500
5.03,35.537500,0.00025950
5.04,35.605000,0.00026400
5.05,35.672500,0.00026200
5.06,35.740000,0.00026000
5.07,35.810000,0.00025900
5.08,35.880000,0.00025800
5.09,35.950000,0.00026000
5.10,36.020000,0.00026200
5.11,36.090000,0.00026250
5.12,36.160000,0.00026300
5.13,36.230000,0.00026400
5.14,36.300000,0.00026500
5.15,36.372500,0.00026250
5.16,36.445000,0.00026000
5.17,36.517500,0.00026000
5.18,36.590000,0.00026000
5.19,36.648000,0.00026233
5.20,36.706000,0.00026467
5.21,36.764000,0.00026700
5.22,36.822000,0.00027350
5.23,36.880000,0.00028000
5.24,36.952500,0.00027600
5.25,37.025000,0.00027200
5.26,37.097500,0.00027050
5.27,37.170000,0.00026900
5.28,37.245000,0.00027250
5.29,37.320000,0.00027600
5.30,37.395000,0.00027500
5.31,37.470000,0.00027400
5.32,37.532000,0.00027250
5.33,37.594000,0.00027100
5.34,37.656000,0.00026967
5.35,37.718000,0.00026833
5.36,37.780000,0.00026700
5.37,37.857500,0.00027450
5.38,37.935000,0.00028200
5.39,38.012500,0.00028100
5.40,38.090000,0.00028000
5.41,38.152000,0.00028050
5.42,38.214000,0.00028100
5.43,38.276000,0.00027967
5.44,38.338000,0.00027833
5.45,38.400000,0.00027700
5.46,38.480000,0.00027700
5.47,38.560000,0.00027700
5.48,38.640000,0.00027650
5.49,38.720000,0.00027600
5.50,38.786000,0.00027800
5.51,38.852000,0.00028000
5.52,38.918000,0.00028200
5.53,38.984000,0.00028300
5.54,39.050000,0.00028400
5.55,39.116000,0.00028150
5.56,39.182000,0.00027900
5.57,39.248000,0.00027967
5.58,39.314000,0.00028033
5.59,39.380000,0.00028100
5.60,39.462500,0.00027900
5.61,39.545000,0.00027700
5.62,39.627500,0.00027767
5.63,39.710000,0.00027833
5.64,39.778000,0.00027900
5.65,39.846000,0.00028500
5.66,39.914000,0.00029100
5.67,39.982000,0.00029067
5.68,40.050000,0.00029033
5.69,40.108333,0.00029000
5.70,40.166667,0.00028450
5.71,40.225000,0.00027900
5.72,40.283333,0.00027833
5.73,40.341667,0.00027767
5.74,40.400000,0.00027700
5.75,40.472000,0.00027950
5.76,40.544000,0.00028200
5.77,40.616000,0.00028633
5.78,40.688000,0.00029067
5.79,40.760000,0.00029500
5.80,40.832000,0.00029300
5.81,40.904000,0.00029100
5.82,40.976000,0.00028800
5.83,41.048000,0.00028500
5.84,41.120000,0.00028200
5.85,41.192000,0.00027967
5.86,41.264000,0.00027733
5.87,41.336000,0.00027500
5.88,41.408000,0.00028000
5.89,41.480000,0.00028500
5.90,41.541667,0.00028800
5.91,41.603333,0.00029100
5.92,41.665000,0.00029400
5.93,41.726667,0.00029833
5.94,41.788333,0.00030267
5.95,41.850000,0.00030700
5.96,41.926000,0.00030500
5.97,42.002000,0.00030300
5.98,42.078000,0.00030000
5.99,42.154000,0.00029700
6.00,42.230000,0.00029400
6.01,42.295000,0.00036333
6.02,42.360000,0.00043267
6.03,42.425000,0.00050200
6.04,42.490000,0.00046767
6.05,42.555000,0.00043333
6.06,42.620000,0.00039900
6.07,42.698000,0.00034533
6.08,42.776000,0.00029167
6.09,42.854000,0.00023800
6.10,42.932000,0.00036100
6.11,43.010000,0.00048400
6.12,43.076667,0.00068600
6.13,43.143333,0.00088800
6.14,43.210000,0.00109000
6.15,43.276667,0.00113000
6.16,43.343333,0.00117000
6.17,43.410000,0.00121000
6.18,43.478333,0.00112367
6.19,43.546667,0.00103733
6.20,43.615000,0.00095100
