wl,k
7.0066,8.61E-03
7.0447,1.37E-02
7.0832,1.80E-02
7.1221,1.67E-02
7.1615,1.21E-02
7.2013,7.40E-03
7.2415,4.83E-03
7.2822,3.47E-03
7.3233,3.07E-03
7.3649,2.87E-03
7.4070,3.11E-03
7.4496,3.12E-03
7.4926,2.59E-03
7.5362,2.52E-03
7.5803,3.96E-03
7.6249,6.05E-03
7.6700,7.77E-03
7.7156,9.38E-03
7.7618,1.47E-02
7.8086,2.93E-02
7.8559,1.71E-01
7.9038,3.31E-01
7.9523,3.32E-01
8.0014,1.74E-01
8.0511,5.40E-02
8.1014,2.73E-02
8.1524,2.43E-02
8.2040,2.83E-02
8.2562,3.56E-02
8.3091,4.49E-02
8.3628,5.22E-02
8.4171,5.81E-02
8.4721,6.32E-02
8.5278,6.79E-02
8.5843,7.41E-02
8.6415,8.41E-02
8.6995,1.02E-01
8.7583,1.31E-01
8.8179,1.75E-01
8.8783,2.40E-01
8.9395,3.37E-01
9.0016,4.69E-01
9.0645,6.02E-01
9.1284,6.88E-01
9.1931,7.05E-01
9.2588,6.71E-01
9.3254,6.16E-01
9.3930,5.62E-01
9.4615,5.19E-01
9.5311,4.91E-01
9.6017,4.83E-01
9.6733,4.91E-01
9.7461,4.96E-01
9.8199,4.53E-01
9.8949,3.34E-01
9.9710,1.94E-01
10.048,1.06E-01
10.127,6.35E-02
10.207,4.21E-02
10.288,3.12E-02
10.370,2.52E-02
10.453,2.08E-02
10.538,1.83E-02
10.625,1.81E-02
10.713,1.82E-02
10.802,2.14E-02
10.893,3.13E-02
10.985,4.01E-02
11.079,4.13E-02
11.174,4.66E-02
11.272,6.75E-02
11.370,1.12E-01
11.471,1.67E-01
11.573,1.93E-01
11.678,2.02E-01
11.784,2.22E-01
11.892,2.27E-01
12.002,2.44E-01
12.114,3.43E-01
12.229,4.89E-01
12.345,6.40E-01
12.464,7.21E-01
12.585,6.09E-01
12.708,3.61E-01
12.834,1.74E-01
12.962,1.02E-01
13.093,8.96E-02
13.227,8.48E-02
13.363,6.27E-02
13.502,4.22E-02
13.645,3.49E-02
13.790,3.34E-02
13.938,3.87E-02
14.089,5.18E-02
14.244,6.28E-02
14.403,6.42E-02
14.564,6.06E-02
14.730,5.30E-02
14.899,4.68E-02
15.072,4.00E-02
15.250,2.85E-02
15.431,1.97E-02
15.617,1.94E-02
15.808,2.16E-02
16.003,2.07E-02
16.203,1.86E-02
16.408,2.12E-02
16.618,2.41E-02
16.834,2.32E-02
17.056,2.41E-02
17.283,3.07E-02
17.517,3.56E-02
17.757,3.87E-02
18.003,3.99E-02
18.257,4.02E-02
18.518,4.26E-02
18.786,4.38E-02
19.062,4.41E-02
19.347,4.57E-02
19.640,4.47E-02
19.942,4.20E-02
