wl,Al2O3_k
0.000567837,2.15319e-05
0.000571561,2.20492e-05
0.000575309,2.25788e-05
0.000579082,2.31215e-05
0.00058288,2.36735e-05
0.000586703,2.42438e-05
0.000590551,2.48194e-05
0.000594424,2.54183e-05
0.000598322,2.60183e-05
0.000602246,2.66467e-05
0.000606196,2.72717e-05
0.000610172,2.7927e-05
0.000614173,2.85781e-05
0.000618201,2.92531e-05
0.000622256,2.99269e-05
0.000626337,3.06353e-05
0.000630444,3.13499e-05
0.000634579,3.20906e-05
0.000638741,3.28418e-05
0.00064293,3.36146e-05
0.000647147,3.44044e-05
0.000651391,3.52109e-05
0.000655663,3.60413e-05
0.000659963,3.6883e-05
0.000664291,3.77559e-05
0.000668648,3.86341e-05
0.000673033,3.95518e-05
0.000677447,4.0468e-05
0.00068189,4.14328e-05
0.000686362,4.23913e-05
0.000690863,4.34029e-05
0.000695394,4.44104e-05
0.000699955,4.54619e-05
0.000704546,4.65161e-05
0.000709166,4.76082e-05
0.000713817,4.87102e-05
0.000718499,4.98381e-05
0.000723211,5.09803e-05
0.000727954,5.21469e-05
0.000732728,5.33393e-05
0.000737534,5.45518e-05
0.000742371,5.58037e-05
0.000747239,5.70674e-05
0.00075214,5.83817e-05
0.000757073,5.96986e-05
0.000762038,6.10783e-05
0.000767036,6.24505e-05
0.000772066,6.38993e-05
0.00077713,6.53386e-05
0.000782226,6.68506e-05
0.000787356,6.83619e-05
0.00079252,5.4878e-05
0.000797718,3.73083e-05
0.00080295,3.04703e-05
0.000808216,3.12741e-05
0.000813516,3.20727e-05
0.000818851,3.2866e-05
0.000824222,3.36542e-05
0.000829627,3.46025e-05
0.000835068,3.56744e-05
0.000840545,3.67393e-05
0.000846058,3.77972e-05
0.000851606,3.88483e-05
0.000857191,3.98925e-05
0.000862813,4.09299e-05
0.000868472,4.19606e-05
0.000874168,4.29845e-05
0.000879901,4.40018e-05
0.000885671,4.50203e-05
0.00089148,4.66641e-05
0.000897327,4.82971e-05
0.000903212,4.99194e-05
0.000909135,5.15312e-05
0.000915098,5.31325e-05
0.000921099,5.47234e-05
0.00092714,5.63039e-05
0.000933221,5.78741e-05
0.000939341,5.9434e-05
0.000945501,6.09838e-05
0.000951702,6.25235e-05
0.000957944,6.40532e-05
0.000964227,6.55729e-05
0.00097055,6.70827e-05
0.000976915,6.85827e-05
0.000983322,7.00728e-05
0.000989771,7.15533e-05
0.000996263,7.30242e-05
0.0010028,7.44854e-05
0.00100937,7.59371e-05
0.00101599,7.73794e-05
0.00102266,7.88123e-05
0.00102936,8.02358e-05
0.00103611,8.24404e-05
0.00104291,8.55534e-05
0.00104975,8.86462e-05
0.00105663,9.17189e-05
0.00106356,9.47715e-05
0.00107054,9.78042e-05
0.00107756,0.000100817
0.00108463,0.000103811
0.00109174,0.000106784
0.0010989,0.000109739
0.00110611,0.000112674
0.00111336,0.00011559
0.00112066,0.000118487
0.00112801,0.000121365
0.00113541,0.000124225
0.00114286,0.000127066
0.00115035,0.000129888
0.0011579,0.000132692
0.00116549,0.000135478
0.00117313,0.000138245
0.00118083,0.000140995
0.00118857,0.000143726
0.00119637,0.00014644
0.00120421,0.000149136
0.00121211,0.000151815
0.00122006,0.000154476
0.00122806,0.000157119
0.00123612,0.000159746
0.00124422,0.000164191
0.00125238,0.000170295
0.0012606,0.000176359
0.00126886,0.000182383
0.00127719,0.000188369
0.00128556,0.000194315
0.00129399,0.000200223
0.00130248,0.000206092
0.00131102,0.000211923
