wl,Ag_n,PDMS_n
5.220000,2.832000,1.370270
5.230000,2.841000,1.369980
5.240000,2.852250,1.369860
5.250000,2.863500,1.369643
5.260000,2.874750,1.369547
5.270000,2.886000,1.369413
5.280000,2.897750,1.369375
5.290000,2.909500,1.369337
5.300000,2.921250,1.369057
5.310000,2.933000,1.368813
5.320000,2.942600,1.368443
5.330000,2.952200,1.368317
5.340000,2.961800,1.368077
5.350000,2.971400,1.367963
5.360000,2.981000,1.367560
5.370000,2.993250,1.367270
5.380000,3.005500,1.366793
5.390000,3.017750,1.366605
5.400000,3.030000,1.366418
5.410000,3.040000,1.366073
5.420000,3.050000,1.365917
5.430000,3.060000,1.365717
5.440000,3.070000,1.365673
5.450000,3.080000,1.365397
5.460000,3.093000,1.365163
5.470000,3.106000,1.364698
5.480000,3.119000,1.364465
5.490000,3.132000,1.364232
5.500000,3.142600,1.363920
5.510000,3.153200,1.363840
5.520000,3.163800,1.363727
5.530000,3.174400,1.363693
5.540000,3.185000,1.363575
5.550000,3.195800,1.363490
5.560000,3.206600,1.363405
5.570000,3.217400,1.363107
5.580000,3.228200,1.362893
5.590000,3.239000,1.362480
5.600000,3.252750,1.362280
5.610000,3.266500,1.362080
5.620000,3.280250,1.361667
5.630000,3.294000,1.361453
5.640000,3.305400,1.361088
5.650000,3.316800,1.360935
5.660000,3.328200,1.360783
5.670000,3.339600,1.360477
5.680000,3.351000,1.360323
5.690000,3.360833,1.360008
5.700000,3.370667,1.359845
5.710000,3.380500,1.359683
5.720000,3.390333,1.359183
5.730000,3.400167,1.358847
5.740000,3.410000,1.358353
5.750000,3.422000,1.358195
5.760000,3.434000,1.358038
5.770000,3.446000,1.357773
5.780000,3.458000,1.357667
5.790000,3.470000,1.357420
5.800000,3.482400,1.357280
5.810000,3.494800,1.357140
5.820000,3.507200,1.356787
5.830000,3.519600,1.356573
5.840000,3.532000,1.356275
5.850000,3.544600,1.356190
5.860000,3.557200,1.356105
5.870000,3.569800,1.355880
5.880000,3.582400,1.355740
5.890000,3.595000,1.355600
5.900000,3.605833,1.355120
5.910000,3.616667,1.354780
5.920000,3.627500,1.354148
5.930000,3.638333,1.353855
5.940000,3.649167,1.353563
5.950000,3.660000,1.352972
5.960000,3.673200,1.352675
5.970000,3.686400,1.352378
5.980000,3.699600,1.351913
5.990000,3.712800,1.351745
6.000000,3.726000,1.351577
6.010000,3.737500,1.351277
6.020000,3.749000,1.351143
6.030000,3.760500,1.350720
6.040000,3.772000,1.350430
6.050000,3.783500,1.350140
6.060000,3.795000,1.349527
6.070000,3.809000,1.349205
6.080000,3.823000,1.348882
6.090000,3.837000,1.348345
6.100000,3.851000,1.348130
6.110000,3.865000,1.347915
6.120000,3.877167,1.347445
6.130000,3.889333,1.347190
6.140000,3.901500,1.346935
6.150000,3.913667,1.346440
6.160000,3.925833,1.346200
6.170000,3.938000,1.345960
6.180000,3.950333,1.345410
6.190000,3.962667,1.345100
6.200000,3.975000,1.344790
6.210000,3.987333,1.344313
6.220000,3.999667,1.344145
6.230000,4.012000,1.343977
6.240000,4.024833,1.343675
6.250000,4.037667,1.343540
6.260000,4.050500,1.343405
6.270000,4.063333,1.343095
6.280000,4.076167,1.342920
6.290000,4.089000,1.342745
6.300000,4.102167,1.342398
6.310000,4.115333,1.342225
6.320000,4.128500,1.342052
6.330000,4.141667,1.341650
6.340000,4.154833,1.341420
6.350000,4.168000,1.341190
6.360000,4.179571,1.340590
6.370000,4.191143,1.340220
6.380000,4.202714,1.339850
6.390000,4.214286,1.339220
6.400000,4.225857,1.338960
6.410000,4.237429,1.338700
6.420000,4.249000,1.338075
6.430000,4.262833,1.337710
6.440000,4.276667,1.337345
6.450000,4.290500,1.336620
6.460000,4.304333,1.336260
6.470000,4.318167,1.335900
6.480000,4.332000,1.335540
6.490000,4.344286,1.334935
6.500000,4.356571,1.334690
6.510000,4.368857,1.334445
6.520000,4.381143,1.333867
6.530000,4.393429,1.333535
6.540000,4.405714,1.333203
6.550000,4.418000,1.332407
6.560000,4.432833,1.331945
6.570000,4.447667,1.331483
6.580000,4.462500,1.330738
6.590000,4.477333,1.330456
6.600000,4.492167,1.330174
6.610000,4.507000,1.329892
6.620000,4.520000,1.328985
6.630000,4.533000,1.328360
6.640000,4.546000,1.327735
6.650000,4.559000,1.326416
6.660000,4.572000,1.325722
6.670000,4.585000,1.325028
6.680000,4.598000,1.324334
6.690000,4.611429,1.323150
6.700000,4.624857,1.322660
6.710000,4.638286,1.322170
6.720000,4.651714,1.321450
6.730000,4.665143,1.321220
6.740000,4.678571,1.320990
6.750000,4.692000,1.320760
6.760000,4.705714,1.319995
6.770000,4.719429,1.319460
6.780000,4.733143,1.318925
6.790000,4.746857,1.317700
6.800000,4.760571,1.317010
6.810000,4.774286,1.316320
6.820000,4.788000,1.315630
6.830000,4.802286,1.314262
6.840000,4.816571,1.313585
6.850000,4.830857,1.312908
6.860000,4.845143,1.312166
6.870000,4.859429,1.312102
6.880000,4.873714,1.312038
6.890000,4.888000,1.311974
6.900000,4.900875,1.311838
6.910000,4.913750,1.311766
6.920000,4.926625,1.311694
6.930000,4.939500,1.311622
6.940000,4.952375,1.310750
6.950000,4.965250,1.309950
6.960000,4.978125,1.309150
6.970000,4.991000,1.307292
6.980000,5.006143,1.306234
6.990000,5.021286,1.305176
7.000000,5.036429,1.304118
7.010000,5.051571,1.302524
7.020000,5.066714,1.301988
7.030000,5.081857,1.301452
7.040000,5.097000,1.300916
7.050000,5.110750,1.300968
7.060000,5.124500,1.301556
7.070000,5.138250,1.302144
7.080000,5.152000,1.302732
7.090000,5.165750,1.304236
7.100000,5.179500,1.305152
7.110000,5.193250,1.306068
7.120000,5.207000,1.306984
7.130000,5.221125,1.308198
7.140000,5.235250,1.308496
7.150000,5.249375,1.308794
7.160000,5.263500,1.309092
7.170000,5.277625,1.308798
7.180000,5.291750,1.308206
7.190000,5.305875,1.307614
7.200000,5.320000,1.307022
7.210000,5.334625,1.305318
7.220000,5.349250,1.304206
7.230000,5.363875,1.303094
7.240000,5.378500,1.301982
7.250000,5.393125,1.299654
7.260000,5.407750,1.298438
7.270000,5.422375,1.297222
7.280000,5.437000,1.296006
7.290000,5.452000,1.293716
