wl,SIO2_n,SIO2_k
6.32,1.269643,0.00942335
6.33,1.267974,0.00926199
6.34,1.267306,0.00920750
6.35,1.265638,0.00908858
6.36,1.263968,0.00898921
6.37,1.263299,0.00895428
6.38,1.261622,0.00887560
6.39,1.259938,0.00880703
6.40,1.259262,0.00878221
6.41,1.257563,0.00872533
6.42,1.255851,0.00867479
6.43,1.255163,0.00865631
6.44,1.253430,0.00861398
6.45,1.251681,0.00857663
6.46,1.250976,0.00856313
6.47,1.249201,0.00853292
6.48,1.247408,0.00850745
6.49,1.246684,0.00849868
6.50,1.244861,0.00848046
6.51,1.243018,0.00846725
6.52,1.242274,0.00846350
6.53,1.240399,0.00845818
6.54,1.238501,0.00845839
6.55,1.237736,0.00846017
6.56,1.235805,0.00846909
6.57,1.233851,0.00848410
6.58,1.233063,0.00849197
6.59,1.231074,0.00851652
6.60,1.229061,0.00854769
6.61,1.228249,0.00856218
6.62,1.226200,0.00860363
6.63,1.224127,0.00865215
6.64,1.223290,0.00867371
6.65,1.221179,0.00873314
6.66,1.219044,0.00880000
6.67,1.218182,0.00882900
6.68,1.216009,0.00890723
6.69,1.213810,0.00899316
6.70,1.212922,0.00902985
6.71,1.211135,0.00910715
6.72,1.210234,0.00914776
6.73,1.207963,0.00925517
6.74,1.205666,0.00937046
6.75,1.204739,0.00941894
6.76,1.202401,0.00954603
6.77,1.200036,0.00968096
6.78,1.199081,0.00973727
6.79,1.196675,0.00988386
6.80,1.194240,0.01003813
6.81,1.193257,0.01010212
6.82,1.190780,0.01026770
6.83,1.188273,0.01044067
6.84,1.187261,0.01051205
6.85,1.185223,0.01065835
6.86,1.184196,0.01073327
6.87,1.181607,0.01092571
6.88,1.178987,0.01112486
6.89,1.177929,0.01120649
6.90,1.175261,0.01141528
6.91,1.172561,0.01163016
6.92,1.171471,0.01171790
6.93,1.169275,0.01189615
6.94,1.168168,0.01198668
6.95,1.165375,0.01221687
6.96,1.162546,0.01245204
6.97,1.161404,0.01254754
6.98,1.158521,0.01278954
6.99,1.155600,0.01303563
7.00,1.154420,0.01313523
7.01,1.152041,0.01333612
7.02,1.150841,0.01343741
7.03,1.147811,0.01369280
7.04,1.144739,0.01395082
7.05,1.143498,0.01405474
7.06,1.140360,0.01431592
7.07,1.137177,0.01457868
7.08,1.135890,0.01468418
7.09,1.133291,0.01489555
7.10,1.131979,0.01500143
7.11,1.128662,0.01526631
7.12,1.125293,0.01553114
7.13,1.123930,0.01563697
7.14,1.121174,0.01584823
7.15,1.119783,0.01595364
7.16,1.116260,0.01621615
7.17,1.112677,0.01647705
7.18,1.111225,0.01658084
7.19,1.108289,0.01678727
7.20,1.106804,0.01688989
7.21,1.103042,0.01714436
7.22,1.099209,0.01739583
7.23,1.097654,0.01749546
7.24,1.094506,0.01769296
7.25,1.092913,0.01779082
7.26,1.088870,0.01803260
7.27,1.084742,0.01827046
7.28,1.083066,0.01836439
7.29,1.079667,0.01855019
7.30,1.077945,0.01864206
7.31,1.073567,0.01886866
7.32,1.069089,0.01909123
7.33,1.067267,0.01917908
7.34,1.063569,0.01935300
7.35,1.061692,0.01943907
7.36,1.056913,0.01965201
7.37,1.052013,0.01986241
7.38,1.050016,0.01994593
7.39,1.045954,0.02011254
7.40,1.043890,0.02019563
7.41,1.038624,0.02040388
7.42,1.033211,0.02061393
7.43,1.031000,0.02069880
7.44,1.026496,0.02087134
7.45,1.024203,0.02095901
7.46,1.019531,0.02113885
7.47,1.017151,0.02123102
7.48,1.011060,0.02147147
7.49,1.004775,0.02172791
7.50,1.002201,0.02183608
7.51,0.996945,0.02206504
7.52,0.994262,0.02218582
7.53,0.988782,0.02244397
7.54,0.985984,0.02258134
7.55,0.978803,0.02295689
7.56,0.971364,0.02338106
7.57,0.968309,0.02356705
7.58,0.962055,0.02397317
7.59,0.958857,0.02419330
7.60,0.952308,0.02467592
7.61,0.948957,0.02493841
7.62,0.940335,0.02567279
7.63,0.931376,0.02652282
7.64,0.927689,0.02690095
7.65,0.920128,0.02773416
7.66,0.916255,0.02818924
7.67,0.908314,0.02919195
7.68,0.904245,0.02973958
7.69,0.893763,0.03127468
