wl,Al_n,Al_k
4.50,7.961391,43.027571
4.51,7.984603,43.110143
4.52,8.007814,43.192714
4.53,8.031026,43.275286
4.54,8.054237,43.357857
4.55,8.077449,43.440429
4.56,8.100660,43.523000
4.57,8.123871,43.605571
4.58,8.147083,43.688143
4.59,8.170294,43.770714
4.60,8.193506,43.853286
4.61,8.216717,43.935857
4.62,8.239929,44.018429
4.63,8.263140,44.101000
4.64,8.286351,44.183571
4.65,8.309563,44.266143
4.66,8.332774,44.348714
4.67,8.355986,44.431286
4.68,8.379197,44.513857
4.69,8.402409,44.596429
4.70,8.425620,44.679000
4.71,8.448831,44.761571
4.72,8.472043,44.844143
4.73,8.495254,44.926714
4.74,8.518466,45.009286
4.75,8.541677,45.091857
4.76,8.564889,45.174429
4.77,8.611756,45.338366
4.78,8.635412,45.419732
4.79,8.659068,45.501098
4.80,8.682724,45.582463
4.81,8.706380,45.663829
4.82,8.730037,45.745195
4.83,8.753693,45.826561
4.84,8.777349,45.907927
4.85,8.801005,45.989293
4.86,8.824661,46.070659
4.87,8.848317,46.152024
4.88,8.871973,46.233390
4.89,8.895629,46.314756
4.90,8.919285,46.396122
4.91,8.942941,46.477488
4.92,8.966598,46.558854
4.93,8.990254,46.640220
4.94,9.013910,46.721585
4.95,9.037566,46.802951
4.96,9.061222,46.884317
4.97,9.084878,46.965683
4.98,9.108534,47.047049
4.99,9.132190,47.128415
5.00,9.155846,47.209780
5.01,9.179502,47.291146
5.02,9.203159,47.372512
5.03,9.226815,47.453878
5.04,9.250471,47.535244
5.05,9.274127,47.616610
5.06,9.297783,47.697976
5.07,9.321439,47.779341
5.08,9.345095,47.860707
5.09,9.368751,47.942073
5.10,9.392407,48.023439
5.11,9.416063,48.104805
5.12,9.439720,48.186171
5.13,9.463376,48.267537
5.14,9.487032,48.348902
5.15,9.510688,48.430268
5.16,9.534344,48.511634
5.17,9.582667,48.674771
5.18,9.607333,48.756542
5.19,9.632000,48.838313
5.20,9.656667,48.920083
5.21,9.681333,49.001854
5.22,9.706000,49.083625
5.23,9.730667,49.165396
5.24,9.755333,49.247167
5.25,9.780000,49.328938
5.26,9.804667,49.410708
5.27,9.829333,49.492479
5.28,9.854000,49.574250
5.29,9.878667,49.656021
5.30,9.903333,49.737792
5.31,9.928000,49.819563
5.32,9.952667,49.901333
5.33,9.977333,49.983104
5.34,10.002000,50.064875
5.35,10.026667,50.146646
5.36,10.051333,50.228417
5.37,10.076000,50.310188
5.38,10.100667,50.391958
5.39,10.125333,50.473729
5.40,10.150000,50.555500
5.41,10.174667,50.637271
5.42,10.199333,50.719042
5.43,10.224000,50.800812
5.44,10.248667,50.882583
5.45,10.273333,50.964354
5.46,10.298000,51.046125
5.47,10.322667,51.127896
